1_UK_DocG_Sanitation,Others,"However, building work may be subject to more than one requirement of the Building Regulations.",,,,,,,,,,,,,,,,,,self-contained,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2_UK_DocG_Sanitation,Others,Consideration of technical risk.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_UK_DocG_Sanitation,Others,"In relation to the installation of new and replacement sanitation and hot water services, building work must satisfy all the technical requirements set out in Schedule 1 to the  Building Regulations.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4_UK_DocG_Sanitation,Others,"Attention should be paid in particular to the need to comply with Part  A (Structure), Part B (Fire safety), Part C (Site  preparation and resistance to contaminants and  moisture), Part J (Combustion appliances and  fuel storage systems), Part L (Conservation of  fuel and power) and Part P (Electrical safety),  as well as Part G.  INTRODUCTION.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5_UK_DocG_Sanitation,Others,How to use this.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6_UK_DocG_Sanitation,Others,In this document the following conventions have been adopted to assist understanding and interpretation: a. Texts shown against a green background are extracts from the Building Regulations or Building (Approved Inspectors etc.).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7_UK_DocG_Sanitation,Others,"It should be remembered however that, as noted above, building works  must comply with all the Others applicable  provisions of Building Regulations.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8_UK_DocG_Sanitation,Others,"It should be remembered  however that, as noted above, building works  must comply with all the Others applicable  provisions of Building Regulations.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9_UK_DocG_Sanitation,Others,BCB means Building Control Body: a local  authority or an Approved Inspector.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10_UK_DocG_Sanitation,Others,"Building means any permanent or temporary  building, but not any Others kind of structure or  erection, and a reference to a building includes  a reference to part of a building.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
